iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6252787063	0.8152397234	0.7785363053	0.8152397233	0.8152397233
1	0.5753649601	0.8212940748	0.7934927489	0.8212940748	0.8212940748
2	0.5355492535	0.8231151464	0.795676809	0.8231151464	0.8231151464
3	0.5045585809	0.824464666	0.7996106133	0.8244646659	0.8244646659
4	0.4821123917	0.8245866607	0.7982602401	0.8245866606	0.8245866606
5	0.4634492875	0.8253946345	0.8007762774	0.8253946344	0.8253946344
6	0.4495699249	0.8256497078	0.8001297956	0.8256497077	0.8256497077
7	0.4385686183	0.8261577627	0.8008286948	0.8261577626	0.8261577626
8	0.4294034274	0.8267082169	0.8004218356	0.8267082169	0.8267082169
9	0.4222764028	0.8273671038	0.8014302474	0.8273671038	0.8273671038
10	0.4167129273	0.8274486992	0.8004917255	0.8274486992	0.8274486992
11	0.411947884	0.827863533	0.8006939071	0.8278635329	0.8278635329
12	0.4083285285	0.8282535415	0.800619025	0.8282535414	0.8282535414
13	0.4050817104	0.8283907397	0.8005940643	0.8283907396	0.8283907396
14	0.4024147511	0.8290588658	0.7997978184	0.8290588657	0.8290588657
15	0.4002569161	0.8292643922	0.8000698899	0.8292643921	0.8292643921
16	0.3983677487	0.8294524362	0.8004268277	0.8294524361	0.8294524361
17	0.3967904571	0.8295891005	0.8006140329	0.8295891004	0.8295891004
18	0.3956164195	0.8297638414	0.8006564661	0.8297638413	0.8297638413
19	0.3944471361	0.8298360182	0.8005341587	0.8298360182	0.8298360182
20	0.3940151579	0.8297776783	0.8007588049	0.8297776783	0.8297776783
21	0.3931591815	0.8300032729	0.8007762774	0.8300032728	0.8300032728
22	0.3921499535	0.8303038173	0.8010832938	0.8303038172	0.8303038172
23	0.3912994434	0.8304220748	0.8012180815	0.8304220748	0.8304220748
24	0.3907213862	0.8304658407	0.8013353968	0.8304658407	0.8304658407
25	0.3900452987	0.8306596498	0.8014701845	0.8306596497	0.8306596497
26	0.3894883256	0.8308671682	0.801455208	0.8308671682	0.8308671682
27	0.3891357851	0.8309000136	0.8013204203	0.8309000135	0.8309000135
28	0.3887851587	0.830996685	0.801455208	0.8309966849	0.8309966849
29	0.3884299974	0.8310307853	0.8014776727	0.8310307853	0.8310307853
30	0.388039997	0.8312890898	0.8015151137	0.8312890897	0.8312890897
31	0.3877568747	0.8312972374	0.8013553653	0.8312972373	0.8312972373
32	0.3876444024	0.8314194034	0.8014002945	0.8314194033	0.8314194033
33	0.3874096547	0.8314501291	0.8013004518	0.8314501291	0.8314501291
34	0.3871621102	0.8315385255	0.801342885	0.8315385254	0.8315385254
35	0.3869355997	0.831607786	0.8013703417	0.8316077859	0.8316077859
36	0.3867354219	0.8316416234	0.8012954597	0.8316416233	0.8316416233
37	0.3864954314	0.8316704925	0.8013279085	0.8316704925	0.8316704925
38	0.3863565439	0.831766638	0.8012680029	0.831766638	0.831766638
39	0.3861613269	0.8318256393	0.8010832938	0.8318256393	0.8318256393
40	0.3859769537	0.8318841067	0.8011107506	0.8318841067	0.8318841067
41	0.3858404368	0.8319316456	0.8012929636	0.8319316456	0.8319316456
42	0.3856209342	0.8320416281	0.8013353968	0.832041628	0.832041628
43	0.3854654505	0.8320688438	0.8012680029	0.8320688438	0.8320688438
44	0.3854346893	0.8321106934	0.8011881287	0.8321106933	0.8321106933
45	0.3853007112	0.8322486207	0.801125727	0.8322486206	0.8322486206
46	0.3851841788	0.8322458397	0.8011207348	0.8322458397	0.8322458397
47	0.3851632892	0.8323213912	0.8011207348	0.8323213911	0.8323213911
48	0.3850284894	0.8322029304	0.8012180815	0.8322029304	0.8322029304
49	0.3848907487	0.8322690793	0.8012205776	0.8322690792	0.8322690792
50	0.384752565	0.8323741613	0.8012929636	0.8323741612	0.8323741612
51	0.3847034338	0.8323296663	0.8012130894	0.8323296662	0.8323296662
52	0.3845888791	0.8323623761	0.8012330579	0.8323623761	0.8323623761
53	0.3844730817	0.8323996558	0.8012031051	0.8323996558	0.8323996558
54	0.3844040524	0.8324351467	0.8012280658	0.8324351466	0.8324351466
55	0.3842786266	0.8324246843	0.8012480343	0.8324246842	0.8324246842
56	0.3841398627	0.8324925543	0.801272995	0.8324925542	0.8324925542
57	0.3840230797	0.8325444	0.80130794	0.8325444	0.8325444
58	0.3839472896	0.8325861818	0.8013054439	0.8325861818	0.8325861818
59	0.3838480273	0.8325869109	0.8012680029	0.8325869109	0.8325869109
60	0.3837389071	0.8326310752	0.8013279085	0.8326310752	0.8326310752
61	0.3836955744	0.8325704882	0.8013353968	0.8325704882	0.8325704882
62	0.3835957489	0.8326376969	0.8013204203	0.8326376968	0.8326376968
63	0.3835614483	0.8326808014	0.8013977985	0.8326808014	0.8326808014
64	0.3834726547	0.8328662676	0.8015176098	0.8328662676	0.8328662676
65	0.3833760934	0.8329055991	0.8015300901	0.8329055991	0.8329055991
66	0.3832835957	0.8329199022	0.8014976412	0.8329199022	0.8329199022
67	0.3832251647	0.8329439386	0.8014826648	0.8329439386	0.8329439386
68	0.3831145834	0.8329223525	0.8014826648	0.8329223524	0.8329223524
69	0.3830206387	0.8329763178	0.8014826648	0.8329763178	0.8329763178
70	0.383019478	0.8329526799	0.8014402316	0.8329526798	0.8329526798
71	0.3828926516	0.8329936648	0.8015525547	0.8329936648	0.8329936648
72	0.3827945533	0.8329905532	0.801527594	0.8329905531	0.8329905531
73	0.3827160756	0.8330016769	0.8015475626	0.8330016769	0.8330016769
74	0.3826738252	0.833066766	0.8015675311	0.833066766	0.833066766
75	0.3826085358	0.8330542518	0.8015450665	0.8330542517	0.8330542517
76	0.3825366188	0.8332049563	0.8016024761	0.8332049562	0.8332049562
77	0.3825302642	0.8331896611	0.8015750193	0.8331896611	0.8331896611
78	0.3824351642	0.8331402656	0.801525098	0.8331402656	0.8331402656
79	0.3824269058	0.8331632422	0.801527594	0.8331632422	0.8331632422
80	0.3824062429	0.8331886691	0.8015151137	0.833188669	0.833188669
81	0.3823376093	0.8331591385	0.8014427277	0.8331591385	0.8331591385
82	0.3822574849	0.833201251	0.8014602002	0.833201251	0.833201251
83	0.3821934302	0.833208534	0.8014926491	0.833208534	0.833208534
84	0.3821285291	0.8332273392	0.8014876569	0.8332273392	0.8332273392
85	0.3820248775	0.8332050917	0.8014477198	0.8332050917	0.8332050917
86	0.3819416524	0.8332907749	0.8014077827	0.8332907748	0.8332907748
87	0.3818545851	0.8332542243	0.8014002945	0.8332542242	0.8332542242
88	0.3817824134	0.8333032891	0.8014302474	0.833303289	0.833303289
89	0.3817325336	0.8334077097	0.8014626963	0.8334077096	0.8334077096
90	0.3816495798	0.8333526846	0.8014801687	0.8333526845	0.8333526845
91	0.381590439	0.8333888368	0.8015450665	0.8333888367	0.8333888367
92	0.3815247138	0.8334668385	0.8015300901	0.8334668384	0.8334668384
93	0.3814637649	0.8334936558	0.8015201058	0.8334936557	0.8334936557
94	0.3813778114	0.8335079589	0.8014876569	0.8335079588	0.8335079588
